LICENSENO,BUSINESSNAME,DBANAME,COMMENTS,LOCATIONCOMMENTS,ISSDTTM,EXPDTTM,LICSTATUS,LICCAT,LICCATDESC,OPENING,CLOSING,PATRONSOUT,CAPACITY,PRIMAPPLICANT,PHONE,STNO,STNOHI,Address,CITY,STATE,ZIP,Location
LB-99117,"ALPHA ONE, LLC",CHURCH,(1) 10:30 P.M. last service on patio with an 11:00 P.M. Closing. (2) New addition (Restaurant) service of Alcohol with food only and Midnight closing. (3) Attendant on duty in parking lot on nights with live Entertainment 11:00 P.M. until closing.,Two rooms with open kitchen in licensed space  on entire first floor 69-81 Kilmarnock Street  with basement at 81 Kilmarnock Street for food preparation and storage  basement at 69 Kilmarnock Street for storage and stock  also a seasonal outdoor patio on private setback on Queensberry Street side ne,11/26/2013 14:00,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,330,"ALPHA ONE, LLC",NULL,69,81,  Kilmarnock ST,Boston,MA,2215,"(42.34258, -71.09953)"
LB-99488,"SOUTH END JOINT VENTURE III (SEJV III), GENERAL PARTNERSHIP",CINQUECENTO,300 PERSONS TOTAL: PATIO SEATING: 60 PERSONS PRIVATE DINING SEATING: 51 PERSONS BAR STOOLS: 19 PERSONS BAR TABLES AND CHAIRS: 22 PERSONS DINING TABLES AND CHAIRS: 126 PERSONS STANDING: 22 PERSONS,IN TWO ROOMS INCLUDING FUNCTION ROOM ON GROUND FLOOR WITH KITCHEN AND BATHROOMS; ONE ROOM ON MEZZANINE LEVEL FOR DINING AND BAR AREA; AND A SEASONAL OUTDOOR PATIO FROM APRIL THROUGH OCTOBER ON PRIVATE PROPERTY FOR 30 PATRONS BETWEEN THE HOURS OF 11:00 A.M. - 2:00 A.M.( MANAGEMENT AGREEMENT APPROVED,11/22/2013 14:24,12/31/2015 0:00,Active,CV7ALR,CV7 All Alc. Restrict.,NULL,2:00 AM,2:30 AM,300,South End Joint Venture III (SEJVIII) General Pat.,NULL,490,,  Harrison AV,Roxbury,MA,2118,"(42.342141, -71.065789)"
LB-99153,21 MERCHANTS ROW CORPORATION,CLARKE'S,,Side and rear emergency exits; bulkhead entrance to cellar for stock - in one room and kitchen first floor; cellar for stock.,11/27/2013 13:41,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,390,21 MERCHANTS ROW CORPORATION,NULL,21,,  Merchants RO,Boston,MA,2109,"(42.359461, -71.05548)"
LB-98998,"A.T.G., INC.",CLERYS,Downstairs for functions Only; 2 Valet Parking if exceeds 40,In two rooms  one to be a function room and kitchen on the first floor and one large function room in basement; also basement for storage with an increase in seating capacity.  Capacity breakdown: bar/lounge - 199; function room - 50; function room - 100.,11/25/2013 12:31,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,349,"A.T.G., INC.",NULL,331,335,  Columbus AV,Boston,MA,2116,"(42.346243, -71.0752)"
LB-98997,BHC CORPORATION GENERAL PARTNER,CLUB CAFÉ,,IN FOUR ROOMS AND KITCHEN ON THE FIRST FLOOR - BASEMENT FOR STOCK.  AND TO INCLUDE AN OUTDOOR SEASONAL PATIO ON PRIVATE PROPERTY FOR 28 PATRONS WITH PATIO HOURS: WEEKDAYS: 5:00 P.M. - 11:00 P.M. AND WEEKENDS AND HOLIDAYS: 11:00 A.M. - 11:00 P.M.,11/14/2013 11:35,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,384,BHC CORPORATION GENERAL PARTNER,NULL,209,,  Columbus AV,Boston,MA,2116,"(42.348549, -71.07237)"
LB-101648,"BAYSIDE CLUB HOTEL, LLC",CLUB HOTEL BY DOUBLETREE,1. No Alcohol with room service. 2. Alcohol in lounge area only.,In whole of said building  ground floor with function room with bar  kitchen and prep area storage  first level comprised of restaurant with dining area  lounge  bar and kitchen and hotel lobby; floors one through six are comprised of 6 guest rooms per fl,11/22/2013 13:48,12/31/2015 0:00,Active,INNAL,Inn. All Alc.,NULL,2:00 AM,NULL,0,"BAYSIDE CLUB HOTEL, LLC",NULL,240,,  Mount Vernon ST,Dorchester,MA,2125,"(42.319024, -71.045007)"
LB-99446,"COLUMBUS PARTNERS, INC.",CODA KITCHEN AND BAR,NONE,IN ONE ROOM ON FIRST FLOOR; REAR ROOM AND CELLAR FOR STOCK.,11/8/2013 16:05,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,70,"COLUMBUS PARTNERS, INC.",NULL,329,,  Columbus AV,Boston,MA,2116,"(42.34632, -71.075098)"
LB-99666,"1844, INC.",COMELLA'S,1.) ALCOHOL TO BE SERVED ONLY TO PATRONS DINING IN THE PREMISES.  2.) NO ALCOHOL TO BE SERVED TO PATRONS WAITING FOR TAKE-OUT.  3.) WAIT SERVICE TO BE PROVIDED AT TABLES  4.) NO BAR,IN ONE ROOM ON THE FIRST FLOOR; KITCHEN IN THE REAR  STORAGE IN THE BASEMENT.,11/27/2013 15:32,12/31/2015 0:00,Active,CV7MW,CV7 Malt Wine,NULL,9:00 PM,9:30 PM,26,"1844, INC.",NULL,1844,,  Centre ST,West Roxbury,MA,2132,"(42.28632, -71.154101)"
LB-99766,"BKW PARTNERS, INC.",CONOR LARKIN'S,26 Standing  97 Seated,IN ONE LARGE DINING ROOM  KITCHEN  AND TWO ROOMS  FOR STORAGE IN BASEMENT LEVEL.,11/19/2013 8:50,12/31/2015 0:00,Active,CV7MWL,CV7 Malt Wine Liq.,NULL,1:00 AM,1:30 AM,123,"BKW PARTNERS, INC.",NULL,329,,  Huntington AV,Boston,MA,2115,"(42.340923, -71.08819)"
LB-99156,"ONE HUNDRED SEVENTY THREE MILK ST.,INC.",COOGAN'S BLUFF,,In three rooms and kitchen on first floor; basement for stock.,11/25/2013 12:35,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,203,"ONE HUNDRED SEVENTY THREE MILK ST.,INC.",NULL,171,173,  Milk ST,Boston,MA,2109,"(42.35827, -71.0533)"
LB-101627,"CPF COPLEY LESSEE, LLC",COPLEY SQUARE HOTEL,11:00 A.M. ON SUNDAYS FOR THE SALE OF ALCOHOLIC BEVERAGES WITH BRUNCH.,IN WHOLE OF SAID BUILDING  BUT DELETING IN ONE ROOM ON 1ST FLOOR WITH MAIN ENTRANCE TO HOTEL LOBBY AND EXIT TO HUNTINGTON AVENUE (FORMERLY KNOWN AS THE ORIGINAL SPORTS SALOON) AND ALSO DELETING OUTDOOR SIDEWALK CAFE TO ACCOMMODATE 16 PERSONS FOR EACH RESTAURANT FOR HOTEL (32 TOTAL).,11/26/2013 15:57,12/31/2015 0:00,Active,INNAL,Inn. All Alc.,NULL,2:00 AM,NULL,0,CPF COPLEY LESSEE LLC,NULL,47,51, Huntington Av,Boston,MA,2116,"(42.348314, -71.078667)"
LB-98966,"98 BROOKLINE AVENUE, INC.",COPPERFIELDS,,Three rear exits for emergency and stock; in one enlarged room on the first floor; one room  stockroom and kitchen in basement.  Capacity breakdown: 1st fl - 300; down under - 142.,11/22/2013 12:03,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,442,"98 BROOKLINE AVENUE, INC.",NULL,96,98,  Brookline AV,Boston,MA,2215,"(42.34612, -71.09929)"
LB-99195,"CORNER CAFE, INC..",CORNER CAFÉ,,Bulkhead entrance to cellar for stock;in one room and kitchen on first floor; cellar for stock.  87 1/2 PRINCE STREET  BOSTON  MA  02113,11/25/2013 10:14,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,32,"CORNER CAFE, INC.",NULL,87,,  Prince ST,Boston,MA,2113,"(42.36561, -71.05597)"
LB-99061,"JOHN B. WENZLER & CO., INC.",CORNER TAVERN,,645 East Second Street; exits at 647 l/2 East Second Street; 144 K Street for stock; in one room on first floor; cellar for stock.,12/17/2013 12:28,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,59,"JOHN B. WENZLER & CO., INC.",NULL,645,,E Second ST,South Boston,MA,2127,"(42.33718, -71.03733)"
LB-99135,"CONEY ISLAND BAR, INC.",CORRIB PUB,ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH BRUNCH ON SUNDAYS FROM: 10:00 AM TO NOON.,Side entrance from driveway off Market Street; in one room kitchen and office on first floor; cellar for stock.,11/18/2013 14:01,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,180,"CONEY ISLAND BAR, INC.",NULL,396,,  Market ST,Brighton,MA,2135,"(42.3499, -71.15277)"
LB-98980,"LAGRANGE LOUNGE AND RESTAURANT, INC.",CORRIB PUB & RESTAURANT,ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH BRUNCH ON SUNDAYS; FROM - 10:00 AM TO NOON. OPEN AT 9:00 A.M. ON SUNDAY FOR THE SERVICE OF FOODS ONLY.,Rear entrance for stock; in one room  kitchen  and office on the first floor; cellar for stock.,11/26/2013 10:29,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,250,"LAGRANGE LOUNGE AND RESTAURANT, INC.",NULL,2022,2030,  Centre ST,West Roxbury,MA,2132,"(42.280802, -71.157911)"
LB-98984,"COSTELLO'S TAVERN, INC.",COSTELLO'S TAVERN,ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH BRUNCH ON SUNDAYS OPENING AT 10:00 A.M.,Unnumbered entrance from parking lot in rear; in one room and kitchen on first floor; dining area and storage in basement.,11/22/2013 13:28,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,150,"COSTELLO'S TAVERN, INC.",NULL,717,723,  Centre ST,Jamaica Plain,MA,2130,"(42.31124, -71.11473)"
LB-99111,JOHNNY BOY'S INC.,COTTAGE TAVERN,,Rear emergency exit; in one room and kitchen on first floor; cellar for stock.,11/26/2013 10:34,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,48,JOHNNY BOY'S INC.,NULL,1227,, Hyde Park Av,Hyde Park,MA,2136,"(42.257202, -71.124063)"
LB-101640,COURTYARD MANAGEMENT CORPORATION,Courtyard Boston Downtown,NONE,In whole of said building - deleting 279 Tremont Street; also deleting entire third floor ballroom  kitchen and storage room and fourth floor balcony areas  the seperate (non-lobby) entrance from Tremont Street. Exit and emergency exits from the third and fourth floor areas of the building.  2 rooms,11/25/2013 11:28,12/31/2015 0:00,Active,INNAL,Inn. All Alc.,NULL,2:00 AM,NULL,0,COURTYARD MANAGEMENT CORPORATION,NULL,275,,  Tremont ST,Boston,MA,2116,"(42.350032, -71.065531)"
LB-101623,HIREN BOSTON LLC,COURTYARD BOSTON SOUTH BAY CENTER,RESTAURANT MUST CLOSE AT 11:00 P.M.,63R BOSTON STREET  DORCHESTER  IN WHOLE OF SAID BUILDING.,11/26/2013 11:28,12/31/2015 0:00,Active,INNAL,Inn. All Alc.,NULL,2:00 AM,NULL,0,HIREN BOSTON LLC,NULL,33,,W Howell ST,Dorchester,MA,2125,"(42.325418, -71.058409)"
LB-101675,"MJ BACK BAY, LLC",COURTYARD BY MARRIOTT,NONE,IN WHOLE OF SAID BUILDING.  ( SEE ISD CERTIFICATE FOR A MORE COMPLETE DESCRIPTION OF THE  PREMISES. ),11/15/2013 13:39,12/31/2015 0:00,Active,INNMW,Innholder Malt & Wine,NULL,10:30 PM,NULL,0,"MJ BACK BAY, LLC",NULL,88,,  Exeter ST,Boston,MA,2116,"(42.3486, -71.078818)"
LB-99674,"TURNAROUND SUSHI, INC.",CRAVE MAD FOR CHICKEN,NONE,In one (1) room on first floor with kitchen and storage in rear main entrance on Kneeland Street  second entrance/exit on Tyler Street and emergency exit to Tyler Street.  Pursuant to the authority contained in Chapter 481 of the Acts of 1994.,12/1/2013 0:06,12/31/2015 0:00,Active,CV7MWL,CV7 Malt Wine Liq.,NULL,1:00 AM,1:30 AM,108,"TURNAROUND SUSHI, INC.",NULL,75,,  Kneeland ST,Boston,MA,2111,"(42.350178, -71.06061)"
LB-99299,"CROKE PARK, INC.",CROKE PARK,,Emergency exit; in two rooms on first floor; cellar for stock.,11/29/2013 10:48,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,67,"CROKE PARK, INC.",NULL,268,,W Broadway ,South Boston,MA,2127,"(42.339275, -71.051191)"
LB-98904,Bobby Charlton LLC,Crossroad Irish Pub,Persons-Total: 98 Persons-1st. floor  98 Persons-mezzanine. 185 Persons-Total;(With Entertainment),Two rooms and kitchen first floor; One room second floor; Basement for stock.,11/25/2013 14:38,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,196,BOBBY CHARLTON LLC,NULL,495,,  Beacon ST,Boston,MA,2115,"(42.350586, -71.08976)"
LB-99831,SUSHI ROCK LLC,CRUDO,NONE,ONE ROOM ON THE FIRST FLOOR DINING AREA WITH 28 SEATS (INCLUDING DINING BAR WITH 10 SEATS); ONE ROOM ON THE SECOND FLOOR DINING AREA WITH APPROXIMATELY 54 SEATS (INCLUDING DINING BAR WITH 10 SEATS); STORAGE ON THIRD FLOOR AND ONE ROOM IN BASEMENT FOR KITCHEN & STORAGE. 11:30 CLOSING SUNDAY & WEDNESD,11/25/2013 10:34,12/31/2015 0:00,Active,CV7MWL,CV7 Malt Wine Liq.,NULL,11:30 PM,12:00 AM,34,SUSHI ROCK LLC,(617)491-8050,78,80,  Salem ST,Boston,MA,2113,"(42.36369, -71.05591)"
LB-99458,Russian Benevolent society,Crystal Restaurant/Garage Room,1.) NOT TO OPEN PRIOR TO 4:00 P.M. 2.)ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUCTION WITH MEALS EXCEPT IN THE LOUNGE. 3.)BOTTLE SERVICE ALLOWED.,TWO ROOMS ON FIRST FLOOR; KITCHEN AND STORAGE IN REAR WITH THE ADDITION OF A REAR ROOM INCLUDING RESTAURANT AND OUTDOOR SEASONAL PATIO ON PRIVATE PROPERTY FOR 80 PATRONS FROM APRIL 15TH-OCTOBER 15TH BETWEEN THE HOURS OF 11:00 A.M.-2:00 A.M.  183 MAIN BANQUET AND RESTAURANT  177 REAR RESTAURANT & 80,11/21/2013 10:26,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,440,RUSSIAN BENEVOLENT SOCIETY,NULL,14,20,  Linden ST,Allston,MA,2134,"(42.35537, -71.13028)"
LB-99200,"PAIGE HOSPITALITY, INC.",CURE LOUNGE,,ON ONE FLOOR IN LOWER LEVEL OF BUILDING  IN TWO ROOMS: FRONT LOUNGE/MAIN ROOM WITH MAIN BAR  OVERFLOW BAR AND LOUNGE SEATING; REAR LOUNGE WITH DEDICATED BAR AND ADDITIONAL SEATING.  KITCHEN AND STORAGE IN REAR.,11/21/2013 12:13,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,382,"PAIGE HOSPITALITY, INC.",NULL,246,,  Tremont ST,Boston,MA,2116,"(42.350688, -71.064668)"
LB-99391,EIGHT REGIONS LLC,DA VINCI,1.  Outdoor patio to close at 10:00 P.M. 2.  Alcohol to be served only with food on Outdoor Patio,First floor consisting of one dining room with bar  office  storage room  kitchen and prep area; entrance/exit from Columbus Avenue and rear exit to alley; also  seasonal outdoor patio.  Capacity breakdown: 101 inside; 24 outside.,11/20/2013 15:04,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,101,EIGHT REGIONS LLC,NULL,162,,  Columbus AV,Boston,MA,2116,"(42.349256, -71.070608)"
LB-98899,J.T.J. CORPORATION,DAISY BUCHANAN'S,1.) SERVICE BAR ONLY ON LOWER LEVEL OF 41 FAIRFIELD STREET WITH SEATING AT TABLES FOR 57 PATRONS.  2.) TRASH TO BE STORED IN RODENT-PROOF CONTAINERS AND PICKED UP ON SITE.,Entrance at 240A Newbury St unnumbered entrance on Fairfield Street  in two rooms (one room for dining and one room for storage) kitchen in basement  separate room for storage to include adjacent property in one room on lower level at 41 Fairfield Street.  CAPACITY BREAKDOWN: ROOM #1 - 153; ROOM #2,11/27/2013 14:44,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,237,J.T.J. CORPORATION,NULL,,, Newbury St,Boston,MA,2116,"(42.34946, -71.08224)"
LB-99426,"DARRYLS'S CORNER BAR & KITCHEN, INC.",DARRYL'S BAR & KITCHEN,NONE,IN TWO ROOMS ON THE FIRST FLOOR; KITCHEN IN THE REAR  STORAGE IN THE BASEMENT.  Capacity breakdown: 96 seating; 12 standing.,11/25/2013 13:33,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,108,"DARRYLS'S CORNER BAR & KITCHEN, INC.",NULL,604,,  Columbus AV,Roxbury,MA,2118,"(42.33975, -71.082398)"
LB-99337,"75 ARLINGTON STREET, INC.",DAVIO'S RESTAURANT,(1) NO ALCOHOL SERVICE AFTER 12:30 A.M.  THE RESTAURANT AND BAR SHALL CEASE ALL OPERATIONS NO LATER THAN 1:00 A.M. (2) FROM AND AFTER 12:00 A.M. ALL INGRESS AND EGRESS TO THE RESTAURANT AND BAR PREMISES SHALL BE THROUGH THE ATRIUM OR OTHER INTERIOR PASSAGE OF 10 ST. JAMES STREET AND THERE SHALL BE NO INGRESS OR EGRESS DIRECTLY TO OR FROM ARLINGTON OR STUART STREETS AND THE RESTAURANT PREMISES.(3)LOBBY AREA CONDITIONS: (a) TO BE USED ONLY FOR FUNCTIONS; (b)USED WEEKDAYS ONLY AFTER 6PM; (c) MAY BE USED WITHIN LICENSE PARAMETERS DURING THE WEEKEND BUTFOR FUNCTIONS ONLY.,"4 ROOMS  KITCHEN  STORAGE ROOM ON 1ST FLOOR; EXIT/ENTRANCEONTO ARLINGTON STREET  2 EXITS/ENTRANCES INTO LOBBY OF BUILDING: ENTRANCE/EXIT FOR TAKE OUT DELIVERY AND TO INCLUDE THE ""ENTIRE EAST AND WEST LOBBIES"".",11/29/2013 11:59,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,234,"75 ARLINGTON STREET, INC.",NULL,75,,  Arlington ST,Boston,MA,2116,"(42.35068, -71.07036)"
LB-99431,BRIGHTON R.I CORPORATION,DAYS HOTEL,EXTENDED TO DAYS INN HOTEL ONLY FOR PURPOSE OF ROOM SERVICE WITHIN THE OPERATING HOURS OF THE LICENSE.,IN ONE ROOM ON FIRST FLOOR WITH KITCHEN  STORAGE  AND LOUNGE AREAS IN THE REAR  STORAGE IN THE BASEMENT.  PREMISES TO ALSO INCLUDE 113 ROOMS IN THE EXISTING HOTEL PREMISES FOR THE SERVICE OF FOOD AND ALCOHOLIC BEVERAGE.,11/22/2013 12:57,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,98,BRIGHTON R.I CORPORATION,NULL,1234,,  Soldiers Field RD,Brighton,MA,2134,"(42.3637, -71.13638)"
LB-99320,"DEEP ELLUM, INC.",DEEP ELLUM,ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH BRUNCH ON SUNDAYS FROM 10:00 A.M. - NOON.  PATIO CONDITIONS: 1.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.  2.) TO BE STAFFED AT ALL TIMES  3.) 2:00 A.M. CLOSING HOUR,REAR ENTRANCE TO KITCHEN FROM YARD FOR STOCK; IN TWO ROOMS AND KITCHEN ON THE FIRST FLOOR; CELLAR FOR STOCK AND TO INCLUDE AN OUTDOOR ANNUAL DINING/DECK  FOR 38 PATRONS FROM 11:00 A.M. - 2:00 A.M.,11/26/2013 11:58,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,148,"DEEP ELLUM, INC.",NULL,477,,  Cambridge ST,Allston,MA,2134,"(42.353902, -71.13703)"
LB-99615,COLUMBUS MANAGING CORP.,DELPHINO'S RESTAURANT,1. NO BAR  2. Malt and Wine to be served only in conjunction with meals.,IN ONE ROOM ON THE FIRST FLOOR  KITCHEN IN THE REAR WITH STORAGE IN THE BASEMENT.,11/26/2013 15:48,12/31/2015 0:00,Active,CV7MW,CV7 Malt Wine,NULL,11:00 PM,11:30 PM,49,COLUMBUS MANAGING CORP.,NULL,754,,  South ST,Roslindale,MA,2131,"(42.28702, -71.12948)"
LB-99355,"DEMPSEY'S, INC.",DEMPSEY'S BAR AND GRILL,1.Alcohol with food only at tables.(Does not apply to bar area).,In two rooms with kitchen and storage in rear.,11/27/2013 15:31,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,11:00 PM,11:30 PM,59,"DEMPSEY'S, INC.",NULL,1185,,  River ST,Hyde Park,MA,2136,"(42.25616, -71.12152)"
LB-134971,"South Street Group, Inc.",Derna's,NONE,In two rooms on first floor  with a bar with 12 seats  kitchen in rear. Food prep & storage in basement. Also to include an outdoor patio on private property with seating for 48 between the hours of 6:00 a.m. - 1:00 a.m.,2/20/2015 14:36,12/31/2015 0:00,Active,CV7ALN,CV7ALN - Neighborhood Restricted,NULL,1:00 a.m.,1:30 a.m.,0,"South Street Group, Inc.",(617)325-5100,753,,  South ST,Roslindale,MA,2131,"(42.287196, -71.129241)"
LB-99024,DEV CORP.,DEVLIN'S,1. ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.  PATIO CONDITIONS: A.) 10:00 P.M. PATIO  CLOSING  B.) ALCOHOL SERVICE WITH FOOD ONLY. ALCOHOLIC BEVERAGES SERVED  IN CONJUNCTION WITH BRUNCH ON SUNDAYS 10:00A.M.,ONE ROOM AND KITCHEN ON FIRST FLOOR  STORAGE IN BASEMENT AND TO INCLUDE AN OUTDOOR SEASONAL PATIO WITH A PORTABLE BAR/WAIT STATION ON PRIVATE PROPERTY FROM APRIL THROUGH OCTOBER FOR 50 PATRONS BETWEEN THE HOURS OF 10:00 A.M. TO 10:00 P.M.,11/22/2013 16:06,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,113,DEV CORP.,NULL,332,,  Washington ST,Brighton,MA,2135,"(42.348878, -71.152342)"
LB-99379,"DICK'S LAST RESORT OF BOSTON,LLC",DICK'S LAST RESORT,OUTDOOR SEASONAL (APRIL-OCT.) PATIO OPERATING HOURS 11:00 A.M. - 2:00 A.M.,@ FANEUIL HALL MARKETPLACE: IN ONE ROOM ON THE FIRST FLOOR FOR DINING; KITCHEN AND STORAGE AREAS IN THE BASEMENT.  INCLUDES OUTDOOR SEASONAL SEATING ON A PRIVATE WAY FROM APRIL THROUGH OCTOBER FOR 72  PATRONS.,11/21/2013 15:36,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,138,"DICK'S LAST RESORT OF BOSTON,LLC",NULL,100,134,  Faneuil Hall SQ,BOSTON,MA,2109,"(42.360131, -71.054954)"
LB-98953,955 LLC,DILLON'S,1. Trash Picked up 3 times a week. 2. Discount Parking. 3. Alcohol shall be served only in conjunction with food ordered from the menu at all table seats  booths  & patio seats. Food will be available at the (14) bar stools and (12) high top seats. 4. Patio service shall end no later than Midnight.,"In whole of said building including annex referred to as ""BARCODE"" space and to include an outside patio for 80 patrons.",11/25/2013 12:43,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,264,955 LLC,NULL,951,,  Boylston ST,Boston,MA,2115,"(42.348051, -71.085767)"
LB-99527,COBBAGE RESTAURANT CORP.,DINO'S,,IN ONE ROOM ON THE FIRST FLOOR; KITCHEN IN THE REAR  STORAGE IN THE BASEMENT.,12/2/2013 14:51,12/31/2015 0:00,Active,CV7MW,CV7 Malt Wine,NULL,10:00 PM,10:30 PM,18,COBBAGE RESTAURANT CORP.,NULL,141,,  Salem ST,Boston,MA,2113,"(42.365059, -71.055378)"
LB-99659,"SS INVESTMENTS, INC.",DIRTY WATER DOUGH COMPANY,1.) ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS. 2.) NO BAR,IN ONE ROOM ON THE FIRST FLOOR; KITCHEN AND STORAGE IN THE REAR.,11/14/2013 16:39,12/31/2015 0:00,Active,CV7MW,CV7 Malt Wine,NULL,11:30 PM,MIDNIGHT,49,"SS INVESTMENTS, INC.",NULL,222,,  Newbury ST,Boston,MA,2116,"(42.34975, -71.08108)"
LB-99005,"DONATO & GIANNI, LLC",Donato & Gianni,1. Close at 11:30 P.M. 2. Alcoholic Beverages served Only with food orders.3. 1 Bar with 12 seats.,Three (3) rooms and kitchen on basement level.,11/29/2013 14:12,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,11:30 PM,MIDNIGHT,116,"DONATO & GIANNI, LLC",(617)281-2691,326,328,  Commercial ST,Boston,MA,2109,"(42.3654, -71.05142)"
LB-99823,"Pavan Restaurant Group, Inc.",DOSA FACTORY,WINE MALTAND LIQUEUR BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.,APPROXIMATELY 1 097 (+/-) SQUARE FEET ON THE FIRST FLOOR.  IN ONE ROOM DINING WITH SEATING FOR FORTY-SIX (46) AND A BAR WITH AN ADDITIONAL THREE (3) SEATS.  KITCHEN IN THE REAR OF THE BUILDING.  ADDITIONAL 200 (+/-) SQUARE FEET OF BASEMENT SPACE FOR STORAGE.  ONE ENTRANCE/EXIT ON NEWBURY STREET AND,11/13/2013 15:52,12/31/2015 0:00,Active,CV7MWL,CV7 Malt Wine Liq.,NULL,11:00 PM,11:30 PM,49,"PAVAN RESTAURANT GROUP, INC.",NULL,316,, Newbury St,Boston,MA,2115,"(42.34862, -71.085413)"
LB-99050,"DOT TAVERN, INC.",DOT TAVERN,,Rear entrance to kitchen for stock; in two rooms and kitchen on first floor; cellar for stock.,11/26/2013 13:34,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,1:00 AM,1:30 AM,99,DOT TAVERN INC.,(978)663-8794,840,,  Dorchester AV,Dorchester,MA,2125,"(42.322159, -71.056601)"
LB-101635,BEAU GESTE XXV LLC,DOUBLETREE GUEST SUITES,Mini-Bars for guest quarters.,IN WHOLE OF SAID BUILDING.  (SEE ISD CERTIFICATE FOR MORE COMPLETE DESCRIPTION OF CAPACITY.),11/12/2013 14:15,12/31/2015 0:00,Active,INNAL,Inn. All Alc.,NULL,2:00 AM,NULL,0,BEAU GESTE XXV LLC,NULL,400,,  Soldiers Field RD,Allston,MA,2134,"(42.36002, -71.11832)"
LB-99280,"SPELLBURKE, INC.",DOYLE'S,ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH BRUNCH ON SUNDAYS AT 11:00 A.M. AND OPEN ON SUNDAYS MORNINGS AT 9:00 A.M. FOR BREAKFAST WITH SERVING FOOD ONLY.,unnumbered side entrance on Williams St.and bulkhead in rear to cellar for stock. Three rooms   kitchen and office on first floor  cellar for stock.  Capacity breakdown: 110 lounge; 98 restaurant; 57 backroom.  3478-3484 WASHINGTON STREET  JAMAICA PLAIN  MA  02130,11/26/2013 11:12,12/31/2015 0:00,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,265,"SPELLBURKE, INC.",NULL,3484,,  Washington ST,Jamaica Plain,MA,2130,"(42.30644, -71.10723)"
